Species ,Length_mm,Width_mm,Height_mm,Apex_mm
Lottia digitalis,13,10.1,6.3,1
Lottia digitalis,7.5,5.4,2.1,0.8
Lottia digitalis,11.6,8,3.8,0.9
Lottia digitalis,8.3,5.3,3.2,0.5
Lottia digitalis,11.1,7.3,5.6,0
Lottia persona,13.2,9.6,3.2,3.4
Lottia persona,13.1,9.9,5.8,5.4
Lottia persona,18.9,13.6,9.2,6.2
Lottia persona,18.5,14.4,9,5.3
Lottia persona,21.8,17.9,11.6,11.1
Lottia persona,25,18.8,12,7.5
Lottia scutum,36.2,29.1,10,13.3
Mytilus trossulus,45,17.6,25.9,
Mytilus trossulus,41.3,15.7,25.1,NA
Mytilus californianus,65.2,27.3,32.5,NA
Mytilus californianus,77.6,30.8,37.1,NA
Mytilus californianus,134,51.7,57.9,NA
Mytilus californianus,74.7,31.5,37.7,NA
Mytilus californianus,52.5,25.8,28.4,NA
